<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
201106;100000;380.4500000;382.9000000;378.1500000;382.9000000;820040
201106;110000;382.9500000;384.7000000;382.4000000;384.1000000;901140
201106;120000;384.1000000;384.1500000;381.9500000;382.7000000;612110
201106;130000;382.7000000;383.1500000;382.0500000;382.9000000;378920
201106;140000;382.7500000;383.4500000;381.3500000;383.0000000;469770
201106;150000;383.0000000;383.9500000;382.1000000;382.1500000;384010
201106;160000;382.1000000;382.6500000;381.2500000;382.5500000;663200
201106;170000;382.5500000;383.8000000;381.0000000;382.4000000;854460
201106;180000;382.4500000;383.1500000;382.2500000;382.8000000;892090
201106;190000;382.1500000;382.8000000;380.8500000;381.5500000;157900
201106;200000;381.4000000;382.0500000;381.3500000;381.7500000;32540
201106;210000;381.7500000;382.3000000;381.4500000;381.6500000;50370
201106;220000;381.6500000;382.6000000;381.6500000;382.2000000;140400
201106;230000;382.3500000;382.5500000;382.1000000;382.3500000;53210
201109;100000;385.2000000;385.9000000;381.5000000;382.8500000;1112520
201109;110000;382.9500000;384.9500000;381.1500000;381.9000000;718440
201109;120000;381.9000000;382.2000000;378.7000000;378.9000000;778220
201109;130000;378.8000000;380.0000000;378.1500000;379.1500000;476170
201109;140000;379.1500000;385.9000000;379.1000000;385.6000000;1234880
201109;150000;385.8000000;395.0000000;384.9000000;394.5500000;3597970
201109;160000;394.8000000;394.9000000;391.4000000;394.4000000;1494650
201109;170000;394.4500000;400.0000000;394.4000000;397.1500000;2479490
201109;180000;397.1500000;405.0000000;392.8000000;403.5500000;2924400
201109;190000;401.2000000;403.0000000;398.4000000;398.8000000;458960
201109;200000;398.8500000;399.1500000;397.1000000;397.3500000;166400
201109;210000;397.4500000;398.0000000;397.1500000;397.2000000;101490
201109;220000;397.3000000;397.3500000;393.7500000;395.0000000;345770
201109;230000;394.9000000;395.5000000;394.7000000;395.4000000;86090
201110;100000;395.3000000;396.8000000;392.2500000;393.5500000;1276730
201110;110000;393.6000000;399.5500000;393.6000000;398.3500000;929790
201110;120000;398.2500000;401.3500000;396.2500000;400.9000000;808540
201110;130000;400.7500000;401.6500000;399.5000000;401.2000000;617180
201110;140000;401.0500000;403.1000000;401.0500000;403.0000000;535820
201110;150000;403.0000000;405.3000000;401.4500000;405.0000000;865360
201110;160000;405.0000000;406.9500000;401.7000000;406.9500000;918920
201110;170000;406.9500000;414.5500000;406.6000000;414.4500000;2051580
201110;180000;414.3500000;418.8500000;413.4500000;413.4500000;2104490
201110;190000;414.8000000;417.0500000;413.0500000;414.3000000;386300
201110;200000;414.2000000;415.4500000;413.1500000;413.3500000;214890
201110;210000;413.3500000;413.6500000;412.7000000;413.2500000;143920
201110;220000;413.2500000;415.0000000;412.0000000;413.5500000;138320
201110;230000;413.5500000;414.5500000;413.3500000;414.5500000;57210
201111;100000;416.1000000;423.6000000;415.8500000;420.8500000;3090970
201111;110000;420.9500000;427.3000000;420.5500000;423.5000000;3231730
201111;120000;423.8000000;427.0000000;422.4000000;426.5500000;1383180
201111;130000;426.6000000;429.0000000;424.6500000;425.7500000;1188420
201111;140000;425.7500000;426.9000000;424.6000000;425.0500000;1090160
201111;150000;425.0500000;426.2500000;422.0500000;422.4000000;1020840
201111;160000;422.4000000;424.6000000;422.0500000;424.6000000;939340
201111;170000;424.6000000;425.6500000;423.8000000;425.0000000;1239510
201111;180000;425.0000000;425.1000000;424.2000000;425.1000000;2169730
201111;190000;424.4000000;425.1000000;423.1500000;423.4500000;206820
201111;200000;423.4500000;423.6000000;423.3000000;423.4500000;38900
201111;210000;423.4000000;423.6000000;422.2500000;422.2500000;82090
201111;220000;422.2500000;423.1500000;418.7000000;419.2000000;250730
201111;230000;419.2500000;420.0000000;418.3000000;419.3500000;202260
201112;100000;418.0000000;418.7000000;412.5000000;416.0000000;1341750
201112;110000;416.0000000;419.5000000;415.7500000;417.3000000;641920
201112;120000;417.3000000;419.2500000;417.0000000;418.2500000;360190
201112;130000;418.3000000;419.6500000;416.8000000;416.9500000;466120
201112;140000;416.8500000;417.1500000;413.4000000;414.6000000;996200
201112;150000;414.6500000;415.4000000;410.5500000;410.7000000;1634460
201112;160000;410.7000000;415.1500000;410.7000000;414.8500000;499820
201112;170000;414.9500000;418.4000000;414.3500000;416.7000000;552480
201112;180000;416.7000000;417.3500000;416.1000000;417.1000000;706180
201112;190000;417.1000000;417.4000000;415.1000000;415.8500000;122550
201112;200000;415.8000000;416.5500000;413.7000000;413.9500000;81860
201112;210000;414.1000000;415.7000000;413.6000000;414.7000000;125930
201112;220000;414.7000000;414.8500000;412.1500000;412.8500000;114850
201112;230000;412.8500000;413.1500000;412.0500000;412.3000000;63180
201113;100000;412.1000000;412.2000000;408.5500000;409.3000000;1016420
201113;110000;409.3000000;412.7500000;408.6000000;411.8500000;749590
201113;120000;411.9500000;412.1500000;410.3000000;411.5500000;477350
201113;130000;411.3500000;414.9500000;410.8000000;414.7500000;640420
201113;140000;414.7500000;414.9500000;411.9000000;413.7500000;618200
201113;150000;413.7500000;414.0000000;409.5000000;410.5000000;720200
201113;160000;410.5000000;414.4500000;410.2500000;412.8000000;746690
201113;170000;412.8000000;414.6000000;412.1000000;414.2000000;311890
201113;180000;414.3000000;415.5500000;413.2500000;415.5000000;474520
201113;190000;415.6500000;417.8500000;415.0500000;416.4000000;233630
201113;200000;416.4500000;417.7500000;416.1500000;417.6500000;71760
201113;210000;417.6500000;418.9500000;417.5000000;418.9000000;134430
201113;220000;418.9000000;418.9500000;416.4500000;417.2500000;74690
201113;230000;417.2500000;419.3500000;416.8000000;419.3500000;116120
201116;100000;425.0000000;425.8000000;420.2000000;421.8000000;908110
201116;110000;421.7500000;422.6500000;415.6500000;417.1500000;1270460
201116;120000;416.9500000;419.3000000;416.8500000;419.0000000;477040
201116;130000;419.0000000;420.2000000;418.3500000;419.2500000;608560
201116;140000;419.3000000;421.1500000;418.0000000;420.8000000;715690
201116;150000;420.8000000;422.3500000;419.6000000;421.5500000;1106930
201116;160000;421.4500000;434.4000000;421.2500000;434.3000000;3819320
201116;170000;434.4000000;435.4500000;427.0500000;429.1500000;2541360
201116;180000;429.0500000;430.1500000;428.2000000;429.5500000;1107180
201116;190000;429.5500000;430.9500000;428.8000000;429.1000000;106370
201116;200000;429.2000000;430.3000000;429.0000000;429.2500000;89560
201116;210000;429.2500000;430.2000000;429.2000000;429.3000000;73470
201116;220000;429.4000000;430.3000000;429.3000000;429.9000000;36870
201116;230000;429.9000000;431.0000000;429.6500000;430.9500000;93940
201117;100000;430.9000000;432.3000000;428.0500000;429.3000000;626170
201117;110000;429.2500000;432.8000000;425.5500000;425.7500000;1592460
201117;120000;425.7500000;429.0000000;424.9500000;426.0000000;648830
201117;130000;425.9000000;426.7000000;422.2000000;423.4000000;838400
201117;140000;423.4000000;424.8000000;421.9000000;422.8500000;465510
201117;150000;422.7500000;423.3000000;419.8000000;422.2000000;982160
201117;160000;422.2000000;424.6500000;420.5000000;424.5500000;857550
201117;170000;424.4000000;428.7500000;423.9000000;428.2000000;1535180
201117;180000;428.3000000;439.9500000;428.0000000;439.6500000;5555310
201117;190000;440.0000000;441.5000000;437.3500000;437.9500000;1545160
201117;200000;438.0000000;438.7500000;437.1500000;437.2000000;178150
201117;210000;437.2000000;438.1500000;437.0000000;437.6000000;77500
201117;220000;437.7500000;439.6500000;437.6000000;439.2000000;124210
201117;230000;439.2000000;439.3000000;438.0000000;438.8500000;94570
201118;100000;437.6000000;443.8500000;436.2500000;443.8000000;2027430
201118;110000;443.7000000;447.6500000;441.6500000;445.2500000;4139060
